Região Intermediária,Região Imediata,Cód. IBGE,Município,População,Área (km²),Densidade (hab./km²),IDHM
Ponta Grossa,Telêmaco Borba,4127106,Telêmaco Borba,77.479,"1.379,02","56,18","0,734"
Ponta Grossa,Telêmaco Borba,4127502,Tibagi,20.374,"2.996,47","6,80","0,664"
Ponta Grossa,Telêmaco Borba,4128534,Ventania,9.760,"819,33","11,91","0,650"
Ponta Grossa,Telêmaco Borba,SÍNTESE,SÍNTESE,186.049,"10.180,79","18,27","0,675"
Ponta Grossa,Irati,4107736,Fernandes Pinheiro,6.400,"405,49","15,78","0,645"
Ponta Grossa,Irati,4110102,Imbituva,30.849,"758,10","40,69","0,660"
Ponta Grossa,Irati,4110706,Irati,61.004,"1.000,19","60,99","0,726"
Ponta Grossa,Irati,4113908,Mallet,13.681,"758,51","18,04","0,708"
Ponta Grossa,Irati,4121505,Rebouças,14.825,"485,18","30,56","0,672"
Ponta Grossa,Irati,4122008,Rio Azul,14.174,"596,17","23,78","0,687"
Ponta Grossa,Irati,4127007,Teixeira Soares,9.540,"902,33","10,57","0,671"
Ponta Grossa,Irati,SÍNTESE,SÍNTESE,150.473,"4.905,97","30,67","0,695"
